HouseID,Rooms,Size_sqft,Distance_CityCenter,Age_House,Price
100,2,1683,19.14,18,62.33
101,4,2433,15.02,15,127.42
102,3,997,11.53,9,52.37
103,3,1781,12.62,17,90.63
104,5,2334,8.97,14,144.51
105,3,1551,5.71,15,74.09
106,3,943,7.76,1,66.17
107,3,1408,15.4,21,56.36
108,5,2024,1.27,22,129.61
109,3,1947,3.21,22,96.25
110,4,986,1.87,3,86.14
111,5,2149,1.77,16,130.71
112,4,1263,17.25,23,50.14
113,5,2172,14.37,25,106.77
114,3,1459,10.01,11,67.84
115,4,1563,2.86,12,108.77
116,5,1754,10.34,10,108.81
117,2,1202,10.0,16,48.17
118,3,2169,4.29,8,128.01
119,5,2334,9.24,6,143.38
120,2,946,8.57,12,42.82
121,5,1971,12.7,24,108.03
122,2,1663,13.07,28,57.44
123,3,1288,1.86,21,75.31
124,4,1728,8.12,8,112.68
125,2,2463,12.89,26,102.78
126,5,1350,10.56,28,73.55
127,3,1137,17.27,4,44.56
128,2,1671,13.52,26,58.9
129,5,1440,4.1,8,108.48
130,5,1272,2.34,26,96.66
131,5,950,13.21,28,53.62
132,2,2238,1.5,18,118.32
133,2,2121,12.13,28,79.45
134,2,2434,18.86,28,77.2
135,4,1062,11.93,5,64.25
136,2,943,8.38,9,45.57
137,2,1145,13.22,4,38.96
138,2,1423,9.71,27,56.34
139,4,1816,11.37,22,100.8
140,2,2395,18.89,17,78.65
141,5,1680,8.34,9,103.12
142,2,801,19.26,1,21.88
143,5,1696,18.2,21,78.69
144,5,2127,4.72,20,132.21
145,5,1053,2.32,13,87.25
146,4,2475,2.91,28,130.41
147,4,1252,1.35,16,93.54
148,4,1860,2.79,29,106.54
149,2,1983,13.98,13,77.99
150,5,1814,2.35,14,132.33
151,4,808,7.06,3,61.34
152,4,2056,17.05,29,79.29
153,2,1922,1.44,6,109.34
154,4,2482,16.47,18,118.53
155,2,1615,6.36,19,75.49
156,3,1007,3.25,5,73.33
157,4,1954,14.24,15,99.8
158,3,1203,12.95,25,46.63
159,2,951,17.67,2,27.74
160,5,853,14.97,10,51.31
161,4,1943,16.27,24,89.12
162,2,2496,6.36,18,118.9
163,5,1427,4.37,27,95.11
164,5,1386,15.26,13,69.84
165,3,2448,16.33,5,113.24
166,2,2243,19.82,23,83.65
167,5,2245,8.84,24,128.13
168,4,903,8.07,1,69.69
169,4,1053,15.75,22,47.09
170,3,2050,7.48,1,127.78
171,5,1935,18.68,18,104.98
172,2,1309,17.31,15,30.93
173,4,2296,9.15,17,116.85
174,5,898,15.27,11,47.49
175,5,952,15.34,21,46.38
176,3,1713,2.96,26,89.2
177,4,1677,18.15,25,68.76
178,4,1137,10.6,22,50.4
179,2,1621,16.7,27,36.71
180,4,1986,7.08,27,99.72
181,2,1756,18.01,17,62.76
182,4,960,8.39,13,66.27
183,3,2403,1.21,1,155.46
184,4,1600,18.2,2,81.84
185,2,1197,2.73,9,71.33
186,2,2100,7.07,3,113.51
187,3,1615,19.05,1,69.37
188,4,2327,19.06,21,103.37
189,4,2215,11.9,16,117.44
190,3,1958,13.0,23,78.95
191,4,2018,9.52,6,125.27
192,4,1200,6.57,28,64.27
193,2,1439,7.24,17,64.31
194,4,1856,13.78,5,96.5
195,4,1487,15.3,5,75.85
196,3,1259,16.04,6,45.09
197,3,1754,16.0,3,83.58
198,5,1269,2.73,21,103.72
199,2,2198,10.39,23,85.63
200,4,1845,2.09,5,138.95
