EmpID,YearsExperience,Dept,Salary
83,9.43,HR,84861.12135652294
84,3.45,Marketing,28889.9637892294
85,2.57,Engineering,23814.937246269685
86,3.49,Sales,28573.88222789112
87,7.75,Marketing,70431.3502237058
88,5.99,,
89,3.41,Marketing,30327.8373026121
90,6.54,Marketing,62229.30408389952
91,5.29,Finance,45578.06234001938
92,7.91,Marketing,72599.96934233927
93,2.89,,27204.885607207307
94,4.02,,39135.6343238769
95,3.82,HR,34370.58504308145
96,0.61,Marketing,11024.482335585257
97,5.89,Finance,43520.712559281856
98,5.78,Marketing,67705.10951404083
99,5.02,Sales,41689.66912039612
100,4.3,Sales,41458.17584276839
101,0.75,Finance,2186.9440058308737
102,3.74,HR,37526.03480108896
103,3.97,HR,37797.1867239542
104,2.59,,20502.891529631488
105,4.52,,46824.58562972853
106,6.21,Engineering,56140.66345279216
107,10.66,Finance,100513.62997845683
108,5.52,Marketing,46045.72795251027
109,5.77,Finance,52770.18331958593
110,4.78,Engineering,53861.003538299
111,,,-2156.1796920476017
112,4.92,Finance,46666.203910257624
113,5.18,Finance,45268.314294664895
114,12.39,,113983.25703870418
115,4.42,Engineering,41529.74104595753
116,5.9,,56363.17282189831
117,4.9,HR,39561.35003059777
118,1.49,Marketing,17008.883137673925
119,8.43,,71875.18168763444
120,7.26,Engineering,74747.09409181528
121,7.37,Sales,63742.28480666102
122,2.27,HR,22304.439830477495
123,9.21,Sales,89503.31494463234
124,0.79,,5984.278462570408
125,6.76,HR,63708.275887998476
126,11.57,Marketing,113300.32208311233
127,2.03,,21441.942433367713
128,3.3,Marketing,32046.600798556276
129,5.3,Finance,40189.67682770918
130,3.49,Sales,27342.988220887964
131,0.35,HR,8444.93296478478
132,5.21,Marketing,50637.84130169519
133,1.81,Engineering,20209.335686147784
134,6.42,Marketing,62063.65190779709
135,2.24,Engineering,26994.90953169909
136,9.65,,87206.44880682456
137,2.65,HR,24909.301694852253
138,4.03,Marketing,31821.311979882943
139,7.44,Marketing,61852.37996687048
140,1.31,HR,3797.111701375383
141,5.68,Marketing,47673.289975621374
142,8.92,Engineering,89580.42151370454
143,0.18,Marketing,-6112.60728543376
144,5.55,Sales,49389.01839287887
145,5.78,,46550.61865997118
146,7.35,Finance,64412.10904221234
147,1.29,Engineering,12680.8366795595
148,1.04,Sales,6038.693832820988
149,6.57,,65710.84828317692
150,5.89,HR,61695.19747078928
151,5.75,Engineering,41495.69529564786
152,6.04,Finance,51986.20192615786
153,2.96,,27445.94971577004
154,5.7,Finance,57913.14016221379
155,5.88,HR,51662.361710017
156,2.86,HR,26133.324320597523
157,10.6,Engineering,91443.48647836324
158,6.42,Marketing,51222.68798541087
159,1.43,HR,20343.424096327955
160,6.97,,
161,2.08,Marketing,30721.64143979989
162,7.36,Sales,71134.45963489599
163,8.48,Finance,81181.63146048217
164,2.54,Marketing,26175.183650038412
165,7.89,Finance,71106.6345781636
166,6.24,Marketing,59196.06184158052
167,7.47,Sales,67573.18078740437
168,10.69,HR,100818.08801264859
169,4.26,Sales,38905.89796842189
170,2.74,HR,20380.575012220288
171,2.33,HR,17018.77783533665
172,2.55,Finance,18468.20221686188
173,4.77,,48606.74708130189
174,6.02,Sales,52130.48295410171
175,5.83,Marketing,43914.44837656834
176,7.48,Sales,70593.58133632892
177,5.04,Finance,53801.373315047895
178,9.36,HR,89718.87473550189
179,4.21,Finance,35599.09387306623
180,13.16,Engineering,112774.43689973006
181,6.88,Engineering,62434.62064480925
182,2.43,Marketing,21492.759333743226
183,1.79,Finance,11572.558704137315
184,6.45,Marketing,61917.02510020969
185,4.33,Marketing,48949.52957242477
186,7.14,Engineering,66602.19304859973
187,6.42,Marketing,59689.04828171683
188,4.78,Engineering,39157.82695821936
189,2.46,HR,29551.123581803044
190,0.46,Finance,3843.5730808241215
191,3.66,Marketing,30676.087481506514
192,7.57,Engineering,69753.3440021662
193,5.64,Sales,54092.01901382112
194,1.26,Marketing,12253.273418749512
195,5.52,,56662.29395684341
196,6.16,HR,58421.706709745406
197,2.35,HR,20135.379423749026
198,5.46,Sales,52087.1453755761
199,5.17,Engineering,49919.380157585525
200,1.57,Marketing,7918.753982707969
201,6.07,Engineering,61423.433561506456
202,6.68,HR,59766.96544962731
203,8.25,Engineering,74295.50300793412
204,8.16,HR,78603.4850340178
205,0.87,Engineering,11715.795047255642
206,2.19,Sales,16583.349591701113
207,6.55,Finance,64093.584487306776
208,6.54,Sales,57185.11185837259
209,,Sales,69176.94163007163
210,16.56,Finance,147753.61102914254
211,6.71,Finance,62744.04419723799
212,8.41,Marketing,73229.6114330534
213,7.86,Marketing,83208.3698215694
214,6.95,Sales,57558.92290646817
215,4.05,Sales,39769.94494330918
216,7.28,HR,63100.3603195332
217,2.68,HR,22811.43503594022
218,4.29,Marketing,41617.191113965746
219,3.54,,38593.140576510465
220,5.25,,56271.967709516044
221,11.94,Marketing,101833.45442508145
222,-0.6,HR,-4164.670723665782
223,7.06,HR,72054.45723216084
224,0.16,,-6958.974201679544
225,3.58,Engineering,34409.03098168653
226,8.27,Engineering,75845.14769987663
227,5.19,HR,49677.351285370954
228,1.77,Engineering,12373.5890675575
229,2.85,Finance,18963.183375001245
230,7.04,Marketing,55008.00952783183
231,2.81,Marketing,30656.30216034642
232,5.65,HR,57344.18181076298
233,5.14,Sales,
234,3.05,,25305.011382790657
235,11.43,HR,96725.05193921945
236,6.9,Engineering,66106.13603563819
237,-1.08,,-15410.064736061995
238,5.56,Sales,47441.9289777203
239,3.01,Engineering,24676.037610385007
240,7.56,Finance,68355.50212466513
241,2.62,Engineering,
242,4.66,Finance,42910.57568825237
243,6.51,,56603.08977101385
244,7.6,Finance,73216.93870037863
245,1.4,,17996.64387607915
246,4.0,,37232.22568339615
247,3.58,,35150.2451883178
248,3.04,,38473.309098602454
249,10.3,,88612.47789657237
250,6.21,Engineering,50793.12734440124
251,1.22,,14665.290756376831
252,7.75,Engineering,80818.64427512838
253,11.37,,102987.44591230575
254,8.1,Finance,82930.43162518306
255,0.44,,4518.014947325385
256,3.55,Sales,29157.505758942476
257,8.8,,75763.46512397019
258,2.88,,29563.516782776784
259,6.33,Finance,53486.3578809859
260,,Marketing,67548.19172878988
261,2.22,Finance,28280.00445522642
262,4.82,Sales,42676.960361064164
263,-4.72,Marketing,-36723.57714462017
264,1.93,HR,11629.972237688002
265,4.24,HR,36221.3375348652
266,1.26,Sales,4521.476244450414
267,9.9,Finance,91171.52673042033
268,0.71,Engineering,10412.779332410491
269,3.68,Sales,34130.28675702457
270,5.39,Marketing,55574.36812848547
271,9.32,Marketing,81740.66746343607
272,0.69,,7455.654640756643
273,8.49,HR,75236.14324558724
274,5.03,Marketing,47945.44464846013
275,2.06,Sales,21413.779067237916
276,6.39,Marketing,61523.47570436851
277,5.6,Sales,46012.34553337752
278,3.2,Engineering,24902.879333670324
279,5.21,,44266.65123403233
280,3.84,HR,34027.52807179081
281,5.34,Marketing,49416.430945876185
282,6.99,Sales,67655.36835921968
283,9.76,Finance,85281.91652324349
284,1.29,HR,3827.27122929064
285,11.4,Engineering,115343.82588030772
286,-0.86,Sales,-13545.51024846175
287,4.54,,45824.215079170994
288,6.76,,62161.61017874256
289,5.84,Engineering,54823.21616678267
290,3.13,Engineering,
291,4.38,,38250.80656232745
292,3.52,Marketing,34606.63224148078
293,3.23,Marketing,27433.845153591094
294,7.55,Sales,75082.96820857578
295,,Finance,58518.53995146865
296,2.92,Sales,29781.314547782855
297,7.7,Finance,68091.69588348092
298,5.92,Engineering,53118.70452337088
299,7.44,HR,62302.92884084204
300,6.89,Sales,61432.60465872713
301,2.51,Sales,17839.78938851037
302,3.32,Finance,37017.63778964436
303,7.24,Engineering,66660.69634685968
304,6.83,Engineering,63499.82843300828
305,4.94,Finance,44185.81505776853
306,5.35,Engineering,50060.11731585921
307,8.83,,93316.48658872153
308,3.23,Marketing,28126.079762915113
309,6.64,,57652.52524985159
310,4.39,HR,42915.20541734843
311,4.35,Sales,27271.251461776235
312,8.3,HR,76450.52196380663
313,,Sales,66750.82349062039
314,7.44,Marketing,63280.92655387189
315,8.92,Engineering,84356.40078781382
316,5.06,,46682.175155845216
317,7.05,Finance,55653.22089701401
318,4.07,,34098.93116259872
319,5.97,Marketing,40317.741086642905
320,4.61,HR,43751.0095001677
321,,Finance,49938.377113254144
322,6.79,Engineering,58314.037665605225
323,2.55,Marketing,26090.12765174003
324,11.28,Finance,97051.93158956853
325,1.98,Marketing,13328.723460435744
326,1.36,Marketing,14560.386505019167
327,8.47,Engineering,74246.70852732554
328,7.37,Sales,67287.14163773319
329,6.87,Finance,60195.992243706954
330,6.89,Engineering,61143.02916085901
331,4.96,Marketing,43658.87417625994
332,2.31,Engineering,17654.40956903827
333,5.23,Sales,49483.78590830517
334,2.97,,24102.320451396317
335,7.93,Finance,72815.39171017898
336,4.56,Sales,38182.385618837485
337,,HR,15442.8996191277
338,4.04,Finance,41618.58367258233
339,6.24,Sales,59733.274118553214
340,3.31,Marketing,41803.98177493101
341,2.53,Finance,17986.252331816835
342,5.73,Finance,51512.92393775114
343,5.73,Engineering,51915.188970132265
344,3.48,Marketing,36866.7228952416
345,3.59,HR,30393.297821507378
346,5.7,,46427.34576125762
347,0.66,Sales,12092.816072341913
348,0.78,Engineering,5571.204752828382
349,2.84,Sales,30442.77128394052
350,4.36,HR,43802.560414507876
351,5.93,HR,54242.74962006249
352,9.43,Finance,85623.95672974746
353,7.57,HR,67477.07800225909
354,4.52,Sales,41383.18325882702
355,4.94,Marketing,49627.04882537179
356,1.99,Marketing,14270.831465570947
357,4.94,Finance,45855.77584556424
358,4.13,,32288.764312115673
359,5.97,Sales,49788.56594739556
360,2.52,Sales,22959.69776527187
361,6.56,HR,50370.01013586732
362,9.6,Sales,98357.62261088975
363,4.67,Engineering,36869.70583949781
364,6.21,,56760.025287519
365,7.07,HR,70689.8016050857
366,3.8,Engineering,30540.50999433876
367,5.67,Finance,40493.898742138896
368,5.04,Marketing,44004.05670147663
369,5.29,Finance,44147.77812067277
370,2.68,Marketing,13200.105700220141
371,5.07,Finance,47928.40630723539
372,6.49,Sales,60564.203023194306
373,9.35,Engineering,91473.36728154788
374,7.88,Marketing,66674.22740980836
375,11.46,HR,97119.77031658753
376,2.7,Engineering,22731.805389463505
377,7.62,HR,69451.80764265332
378,5.55,Engineering,55513.44633569734
379,11.57,Engineering,113177.25436218787
380,2.58,Finance,29737.131105135537
381,2.48,Marketing,24130.215962480786
382,3.2,Marketing,33349.10611012391
383,-1.37,Engineering,-15768.625137710402
384,3.42,Sales,32211.508981658364
385,2.72,Sales,18992.417669773662
386,5.45,HR,50302.887497617885
387,6.03,HR,55752.67328414541
388,10.63,Finance,106113.02197432224
389,7.85,Engineering,70858.25358768465
390,,HR,30443.89049617654
391,2.3,HR,22281.276652931236
392,6.48,,57162.90835182915
393,1.04,Engineering,5526.809532787793
394,10.49,Finance,102712.30263951876
395,8.54,HR,73427.5215526457
396,3.59,Finance,26289.246933734055
397,-0.14,Marketing,2117.1939658635133
398,9.06,Finance,88890.81957699027
399,4.66,Sales,40486.233545287665
400,8.71,Sales,77711.1456020861
401,0.22,Finance,3430.6408072129334
402,3.2,Sales,25812.346458887252
403,5.02,Marketing,42136.77533752387
404,5.14,Engineering,51543.98624961316
405,3.65,Sales,36514.835480637325
406,6.87,Sales,69570.0318124292
407,1.8,Finance,10247.335474636802
408,4.57,Marketing,39405.45537191456
409,5.36,Engineering,50569.84429770757
410,6.54,Finance,55359.248366948385
411,7.13,Finance,68607.49286632343
412,1.63,,
413,0.4,Marketing,752.161369188655
414,8.83,Engineering,81185.05811056826
415,6.0,Marketing,62312.36190528652
416,2.75,Engineering,34220.39758358209
417,9.65,Marketing,92242.4546869022
418,5.35,Finance,52039.36857157021
419,8.54,Finance,74063.42609402264
420,5.2,HR,49492.41299651935
421,11.18,Sales,105331.29109146979
422,10.27,,93148.4720457993
423,4.25,Marketing,36008.725549429015
424,7.91,,66147.02221230044
425,6.94,HR,54967.65507088916
426,9.11,Sales,73820.94670405507
427,2.11,Marketing,22250.93060430277
428,7.06,Engineering,65495.485841377114
429,8.18,Sales,72610.99700244886
430,-0.28,Finance,-4225.547349850972
431,1.45,HR,14352.30091758198
432,-1.12,Sales,-11095.87879995408
433,4.19,Sales,31729.498237639382
434,7.15,Finance,70147.50434343795
435,9.51,Marketing,88749.94635433533
436,5.22,Engineering,49209.30595481565
437,,Finance,94902.63268658728
438,0.86,Engineering,3820.0183649012274
439,-0.11,Marketing,5059.695600289726
440,4.83,Sales,43602.37184646796
441,,Engineering,60853.119567907335
442,4.9,HR,48616.897738924374
443,-1.2,HR,-16200.862830988965
444,4.73,Finance,45899.85032316848
445,1.09,Marketing,11629.265456870131
446,7.01,Finance,
447,6.1,Finance,55479.64751228537
448,2.18,,19566.317956684452
449,3.46,Finance,35799.87527053465
450,1.82,,
451,4.81,HR,44271.5327959912
452,7.87,HR,64726.934724295286
453,2.04,Finance,21183.86834507761
454,6.51,HR,63330.24936943471
455,3.41,Marketing,42779.85966575885
456,2.62,,
457,4.68,,33430.847455229785
458,1.89,Finance,17727.94155838071
459,3.34,HR,39692.61791654196
460,1.41,Engineering,16050.797371405204
461,10.89,,101530.45804747494
462,5.11,Finance,51371.99526198311
463,2.9,Finance,23488.005444905102
464,5.64,Marketing,54122.662330725354
465,4.66,Sales,41490.94163833131
466,4.34,Sales,39710.00341997817
467,6.84,,66881.3386170398
468,7.27,Marketing,62049.62309870316
469,3.41,Marketing,37717.72160753369
470,3.27,Marketing,27879.61650248239
471,4.17,,39552.13074189429
472,-1.91,Sales,-24521.78192617848
473,0.45,Marketing,7726.756588473023
474,9.1,HR,90701.16016963562
475,9.93,Finance,88508.50654673722
476,4.25,Finance,33431.48988965933
477,6.73,Engineering,63120.01977393832
478,5.93,Engineering,61666.2552145327
479,14.24,,123365.38097217956
480,8.36,,71149.53980765905
481,4.62,Finance,40105.43891870074
482,2.13,HR,15435.446178829254
483,0.18,Sales,-2434.899279398549
484,5.61,Sales,40986.43786699479
485,2.73,,27985.876884000165
486,0.73,HR,8389.438509692023
487,3.06,,19573.23091297105
488,1.76,Sales,23429.36421321297
489,10.06,,100679.58501733614
490,7.64,Marketing,66322.44075031449
491,4.98,,51511.185772436205
492,9.44,Finance,83722.2600107246
493,5.23,,48877.11988755986
494,2.42,Finance,18018.344268364097
495,9.57,HR,98850.91580284647
496,6.62,Sales,59241.05672523581
497,1.89,Engineering,17968.039677404806
498,4.43,Engineering,37193.94793853462
499,2.37,Sales,31045.11402585994
500,0.85,Engineering,17229.594594888516
501,7.78,,79515.74733614366
502,10.73,HR,103201.81849521685
503,0.8,HR,4213.9547259805295
504,6.69,Sales,65502.45980700433
505,3.05,Engineering,27940.539136607462
506,3.54,,39032.26149709291
507,3.22,HR,35114.56767094624
508,2.41,HR,
509,5.15,Marketing,51976.87610462555
510,2.51,Marketing,26432.841220511487
511,5.81,HR,39423.70230590912
512,4.85,Sales,48490.716865842725
513,4.28,Finance,37098.79922128071
514,2.28,Finance,16482.809741196383
515,3.27,,25777.373286441394
516,7.27,HR,66006.97413300391
517,6.5,HR,62020.7553932211
518,2.07,HR,12159.51250597302
519,5.3,Sales,49562.842982873815
520,7.25,Marketing,69383.53138061316
521,-0.01,HR,9217.305137590023
522,6.63,HR,55429.41579651778
523,3.01,Engineering,25860.797074309583
524,6.71,Sales,62854.971752190904
525,2.71,,30594.19123641259
526,-0.41,HR,-5281.7944169426
527,0.12,Engineering,7093.892229052874
528,5.14,Finance,37459.21172729903
529,5.78,,46749.604312592535
530,2.29,HR,22747.96751528399
531,6.92,HR,56418.73379418997
532,0.02,Engineering,-5688.905072317314
533,,Sales,41388.530442675044
534,1.37,HR,16423.352923443603
535,3.04,Finance,18404.20514393656
536,5.14,HR,47997.515120493306
537,2.42,Finance,27361.97467923267
538,3.85,,34338.92954973714
539,8.02,,71718.32102006147
540,3.27,Marketing,32002.532720702977
541,7.51,Marketing,67924.00408575211
542,1.61,Finance,21720.027608263452
543,6.59,Sales,54888.90645893871
544,9.32,HR,85228.34289075629
545,-2.41,HR,-21076.99928790709
546,2.61,Marketing,22047.63651864091
547,6.73,Finance,47373.691135437475
548,4.39,HR,39462.215212575255
549,6.11,HR,60544.11497778275
550,3.19,Sales,33150.43199247512
551,5.26,Engineering,50020.60108962995
552,4.53,Marketing,36061.56089168899
553,8.5,Marketing,79941.76095670708
554,5.76,Engineering,49965.708608974506
555,6.01,HR,56893.4067653824
556,3.76,Sales,35095.66662206729
557,3.54,Sales,27588.342031962893
558,3.7,Marketing,29475.51968372539
559,6.18,Sales,58460.40878063494
560,3.74,,33199.12852709994
561,,Engineering,49640.45215173953
562,11.23,HR,98391.65484275132
563,7.61,,68282.64291700957
564,4.02,Engineering,
565,,Finance,76252.06129093621
566,3.78,Marketing,34601.49143528705
567,-1.11,Sales,-9673.118225705424
568,1.98,Finance,12506.176632650993
569,-0.61,Sales,-14409.313045459705
570,3.95,,31097.68972578463
571,5.06,HR,47647.619952647765
572,10.03,HR,92435.60738998633
573,5.98,HR,58362.85373911999
574,4.34,Sales,40291.87032382612
575,7.49,Finance,68153.36533049702
576,-1.63,HR,-17971.037638201622
577,5.71,Finance,56797.31276220849
578,7.31,Sales,62454.183040593016
579,0.56,,-415.4658640245498
580,8.43,Finance,80158.42476604822
581,6.02,,48551.92946312892
582,3.75,Sales,46470.37277759374
583,6.9,Sales,63689.37562590879
584,11.81,Marketing,110065.31565698174
585,5.55,Sales,46864.599198147924
586,5.74,Sales,51073.125933961695
587,3.62,Engineering,31070.22305003306
588,2.45,HR,19763.151347399842
589,7.49,Marketing,71865.92054539217
590,2.43,Marketing,20040.998533100374
591,5.21,Marketing,52875.595920409185
592,3.57,Engineering,46061.30148125327
593,6.44,,57592.40860750613
594,6.0,Sales,55795.84602276405
595,8.11,HR,76285.39648067493
596,3.47,Finance,40885.67598604039
597,4.19,,38019.025212467575
598,2.06,Sales,14750.014237883974
599,3.67,Engineering,27330.92501010698
600,6.13,Sales,55936.757867575514
601,7.27,Sales,64441.287515894655
602,2.23,Engineering,30504.44955556409
603,7.61,Marketing,78651.10926032548
604,9.07,Marketing,78021.60500801036
605,6.24,HR,53681.838675330284
606,10.63,HR,97871.22948533182
607,2.68,Marketing,31568.105355973967
608,1.27,,11933.985838138387
609,-0.34,Finance,-6354.811735716819
610,9.49,Sales,86751.4588899564
611,6.96,Finance,60697.32708818165
612,4.83,Sales,47314.97215337656
613,5.84,Marketing,50021.51940442725
614,1.62,HR,12307.072220683018
615,12.34,,118996.81452281894
616,5.39,HR,45597.29309206435
617,5.33,Finance,41658.13498128509
618,7.18,HR,66332.64334112237
619,6.44,Marketing,57267.74778721589
620,5.67,,54564.461194512245
621,2.63,Finance,25710.714013044926
622,6.41,,58635.350992747655
623,10.65,Sales,97380.60938006367
624,9.04,HR,79239.00555873975
625,9.78,,90122.59293642212
626,3.47,Engineering,36234.57583023665
627,2.03,HR,13752.693786904001
628,4.62,Sales,42349.399828450645
629,5.17,,52613.138430628795
630,8.28,Finance,78474.41093381918
631,-0.08,Sales,5813.574235688486
632,9.59,Engineering,85122.39409787969
633,4.53,,32397.03044146078
634,3.72,Marketing,35124.50546180462
635,1.96,HR,19790.715103726863
636,0.04,Finance,7209.004895395916
637,7.47,Marketing,74458.39289986168
638,5.22,,50563.53167080872
639,,,14191.73829652141
640,1.11,Sales,9222.232373119778
641,3.99,,30502.21546589974
642,10.01,Finance,92404.11062579756
643,4.22,Marketing,43620.30279807181
644,0.49,Finance,7776.269606291352
645,4.26,Engineering,43243.367298762285
646,4.18,Engineering,36201.76192166662
647,-3.09,HR,-29670.3824443558
648,4.84,HR,46811.4373275103
649,4.31,Engineering,36800.412534212366
650,7.09,,62453.57520785263
651,10.55,Finance,98258.49988171957
652,8.38,Engineering,80669.05199110159
653,4.19,HR,37434.62077101148
654,1.68,Engineering,9593.647862098467
655,12.72,,112993.62954913345
656,5.18,Engineering,48531.278857179364
657,5.04,Finance,47186.39032142981
658,4.93,Marketing,46426.01460203724
659,5.59,,53880.06989677618
660,4.57,HR,41946.8205991799
661,3.28,Finance,31410.6803128698
662,3.36,Engineering,30594.056220588987
663,4.9,Engineering,50688.31998613329
664,3.37,Marketing,38072.62427157897
665,2.86,HR,20287.944884926404
666,5.32,HR,47520.7916528165
667,4.24,Sales,39054.505499152736
668,9.51,HR,85894.74194091468
669,-2.95,Marketing,-18093.902366995426
670,8.27,Sales,76975.34307742622
671,8.74,Sales,76139.72524735818
672,-1.22,Engineering,-8208.0895546891
673,3.97,Engineering,37769.21365521052
674,3.89,HR,37201.515312681586
675,0.78,Sales,16193.835693130473
676,2.67,Engineering,26244.175341196064
677,1.67,Marketing,13799.563767238546
678,10.26,Engineering,84332.21692629589
679,7.81,,70809.27768138578
680,8.81,,87338.50043455279
681,7.17,Engineering,65310.10520580178
682,1.61,Sales,3567.2792094622037
683,3.43,Sales,28969.444839078034
684,6.47,Finance,64308.72884507723
685,1.33,,14928.348713642017
686,7.14,Marketing,61291.37497875463
687,4.28,Sales,36431.354282486325
688,3.88,HR,33535.28363864425
689,7.13,,62085.48682123553
690,6.33,Marketing,47912.783881201474
691,3.92,Marketing,39773.67756028815
692,8.48,Sales,84067.06586634385
693,1.76,Marketing,8551.14069360804
694,6.85,Sales,69050.05448225397
695,6.78,Engineering,61673.60734702938
696,4.07,,43457.240509400275
697,5.98,Finance,55040.5730748169
698,1.25,Engineering,12143.19555556001
699,7.77,,73131.55088398188
700,4.45,Sales,36866.75081169364
701,3.43,,37434.62752168038
702,8.15,Sales,69147.97812750601
703,2.89,Engineering,24497.83891651763
704,0.77,HR,9684.05450659223
705,0.33,HR,480.9085625911325
706,6.82,,66443.27468112271
707,1.16,HR,17519.28943386343
708,10.26,Sales,99171.32906311558
709,-1.25,Marketing,-21146.04916315997
710,10.09,Sales,93178.52963305489
711,5.63,Marketing,56783.901620311895
712,4.71,Engineering,36618.156502971244
713,3.37,Finance,34528.96705163583
714,6.2,Marketing,60206.047978240196
715,4.89,HR,38792.47933103663
716,8.31,Sales,80393.6251387109
717,5.34,Engineering,50343.98789249371
718,5.45,HR,53241.369456789864
719,3.91,Engineering,31032.43634760508
720,4.83,Finance,45053.26668803608
721,5.92,Sales,45776.08543815424
722,-0.13,,-12577.365187521009
723,0.96,Sales,9509.625085419699
724,7.23,Finance,71819.28152193809
725,5.51,Sales,51804.48726905772
726,,,
727,5.06,Marketing,45474.562463341885
728,6.04,Engineering,50688.336620698145
729,3.38,,29893.33337727306
730,2.67,HR,26598.67180374424
731,5.59,Finance,49097.482279794254
732,2.06,Marketing,22648.03310535467
733,,HR,58032.066800882916
734,-0.11,HR,575.9355005275493
735,8.09,Finance,78647.85240108593
736,6.42,Marketing,56252.89008344765
737,5.77,HR,56221.52442837859
738,7.95,HR,70988.02211645737
739,10.0,Marketing,93421.35317722909
740,8.04,Sales,70517.0629763576
741,-0.52,HR,-9323.155714746676
742,1.16,Engineering,11099.282296186115
743,3.13,Marketing,19283.543117190635
744,5.08,HR,45114.343407588116
745,6.55,Finance,52047.19136853245
746,2.82,,29762.276345362076
747,5.56,Engineering,56248.97508206756
748,2.73,,20720.836039866797
749,3.17,,31218.00331269624
750,0.78,HR,11650.13346757198
751,2.23,Engineering,24966.749221572998
752,0.94,Engineering,9694.289561122885
753,2.07,Sales,22658.345994741405
754,8.16,,71599.94853903611
755,2.15,Engineering,20136.225191282403
756,12.9,Sales,115988.16014404014
757,6.48,Marketing,55768.070062344595
758,5.55,Sales,51087.015278112995
759,2.42,Finance,23934.806824259016
760,7.1,HR,
761,3.27,Marketing,31319.453944404544
762,5.37,Marketing,52465.32294192619
763,12.68,Finance,119572.16986756273
764,4.71,Sales,56639.572565566334
765,8.45,HR,68456.43272426107
766,2.89,Sales,23068.503304915095
767,4.9,Engineering,52314.9328339265
768,10.31,Sales,92807.1525873697
769,3.12,Marketing,33046.83528454669
770,10.44,HR,96909.674730307
771,7.12,Sales,75833.3439058321
772,3.31,HR,24795.29929562409
773,6.9,HR,69398.41148570714
774,7.92,Engineering,81393.14088680533
775,6.87,Engineering,57942.14299499867
776,,Marketing,
777,2.82,Finance,21038.616244648758
778,4.26,HR,39225.13846564109
779,4.78,Finance,42561.02755147761
780,6.86,Marketing,50908.7439255821
781,5.53,HR,52844.42205780809
782,0.99,HR,9797.35013308651
783,6.14,,63713.79625252362
784,6.83,Finance,65703.06053105384
785,6.68,Sales,72725.90516682791
786,8.24,Engineering,
787,7.5,Sales,68265.18530858963
788,6.38,Finance,57597.988870104586
789,4.79,Engineering,41737.74742798774
790,0.02,Sales,-10855.307020396574
791,6.29,,56593.28496182706
792,5.62,Engineering,41209.491153891846
793,5.81,HR,55551.68334340521
794,1.17,Sales,4531.380886348859
795,1.76,Engineering,11671.722297989643
796,8.16,,71499.55412447531
