Property_Type,Total_Area_sqft,Num_Rooms,Num_Dining_Area,Num_Washrooms,Num_Balconies,Floor_Level,Year_Built,Price_per_sqft,Estimated_Price,Category
House,2650,5,1,3,2,0,2000,3500,9633000,Standard
Flat,1829,2,2,2,1,10,2018,3000,5659000,Standard
Flat,1858,3,2,4,0,7,2002,3000,5833000,Standard
House,2982,3,2,2,0,9,2006,3500,10638000,Standard
House,2517,6,1,1,3,18,2023,3500,9184000,Standard
Flat,1831,2,1,4,1,10,1997,3000,5714500,Standard
Bungalow,4844,1,1,1,3,6,2003,5000,24334500,Luxury
Apartment,4761,2,2,3,2,10,2019,4000,19261500,Luxury
House,1858,5,1,1,0,16,2021,3500,6781500,Standard
Apartment,3677,1,0,1,2,0,1986,4000,14799000,Standard
Bungalow,2628,7,0,2,1,7,1999,5000,13552500,Standard
Bungalow,2680,7,1,1,3,5,2006,5000,13816000,Standard
Bungalow,637,7,0,4,3,17,1985,5000,3680500,Standard
House,3972,3,0,4,3,5,2006,3500,14208000,Standard
Bungalow,3332,2,2,3,2,4,1988,5000,16862000,Luxury
House,4079,7,1,4,0,12,2010,3500,14739500,Standard
Bungalow,3531,4,1,2,2,18,2000,5000,17933000,Luxury
Apartment,4664,6,2,3,2,7,2005,4000,19066500,Luxury
Apartment,3093,4,0,4,1,8,2019,4000,12704500,Standard
Flat,4800,7,0,2,1,16,1992,3000,14809000,Standard
Apartment,4318,6,1,4,1,2,2002,4000,17696000,Luxury
Flat,4638,5,0,4,0,18,1999,3000,14271500,Standard
Apartment,4323,4,2,1,0,10,2016,4000,17518000,Luxury
House,4542,2,2,4,1,16,2007,3500,16123500,Luxury
Apartment,2406,2,1,4,1,18,1996,4000,9845000,Standard
Flat,1260,4,2,2,0,1,2007,3000,4031500,Standard
Flat,3945,7,2,2,3,7,2020,3000,12288000,Standard
Bungalow,1399,2,1,1,0,18,1981,5000,7103500,Standard
House,4955,5,2,4,0,6,2004,3500,17702500,Luxury
Apartment,3447,1,2,1,0,16,2020,4000,13866000,Standard
Bungalow,2219,7,2,4,1,5,1985,5000,11560500,Standard
Apartment,780,5,0,3,3,18,1990,4000,3488000,Standard
Apartment,3766,6,1,3,0,5,2017,4000,15450500,Luxury
Bungalow,2387,5,1,1,1,1,1985,5000,12210500,Standard
Bungalow,3766,7,1,1,2,5,1990,5000,19223000,Luxury
Bungalow,1166,6,0,1,2,4,1993,5000,6174500,Standard
Bungalow,4688,7,0,2,0,18,1981,5000,23828500,Luxury
Bungalow,1171,2,1,2,2,19,2019,5000,6042500,Standard
Apartment,2469,1,0,2,3,3,1982,4000,10010000,Standard
Bungalow,4656,7,1,1,2,16,2014,5000,23685000,Luxury
House,3622,7,0,4,2,10,2012,3500,13171000,Standard
Flat,4400,2,2,3,3,3,2003,3000,13424500,Standard
Bungalow,1023,3,2,1,0,12,1998,5000,5282000,Standard
Bungalow,2893,2,1,2,0,19,1997,5000,14611500,Standard
Apartment,3617,6,0,2,3,16,2003,4000,14862500,Standard
Bungalow,3093,2,0,1,3,8,2014,5000,15635000,Luxury
Bungalow,2468,2,2,1,3,3,1980,5000,12493000,Standard
Bungalow,2253,1,2,2,2,13,2015,5000,11400500,Standard
Apartment,2796,2,0,4,3,18,2004,4000,11439000,Standard
Bungalow,2761,7,0,2,1,2,2022,5000,14229000,Standard
Flat,2786,1,0,2,2,13,2013,3000,8492500,Standard
Apartment,4702,4,0,1,0,7,2004,4000,19028000,Luxury
Flat,3378,3,0,4,0,0,1995,3000,10389500,Standard
Apartment,4643,1,0,2,0,9,2013,4000,18676500,Luxury
Bungalow,4144,6,1,2,2,17,2008,5000,21102000,Luxury
Flat,4932,4,0,3,1,15,1998,3000,15088000,Luxury
Apartment,2555,1,2,1,3,7,2002,4000,10334000,Standard
House,1776,1,1,3,3,0,1998,3500,6388000,Standard
Bungalow,3266,3,0,3,0,11,2004,5000,16560000,Luxury
Apartment,802,7,2,2,0,7,1995,4000,3603500,Standard
House,1138,6,1,1,2,15,1988,3500,4325000,Standard
Apartment,555,5,2,4,1,17,1980,4000,2583000,Standard
House,1025,5,0,2,3,3,2021,3500,3941000,Standard
Bungalow,4623,1,0,4,2,5,1998,5000,23302000,Luxury
Flat,2625,2,0,4,3,11,2012,3000,8134000,Standard
House,3787,6,0,1,0,8,2013,3500,13579000,Standard
Apartment,864,4,1,3,3,14,1995,4000,3776500,Standard
Bungalow,2146,2,1,1,1,15,2023,5000,10874500,Standard
House,1418,2,2,4,1,11,2019,3500,5195500,Standard
Apartment,3297,6,0,2,0,13,1997,4000,13534500,Standard
Apartment,2031,7,2,4,1,12,2013,4000,8603500,Standard
Apartment,3845,1,1,2,1,1,2004,4000,15495000,Luxury
House,2406,1,0,2,2,2,1985,3500,8541500,Standard
House,3586,1,0,1,3,9,2000,3500,12664000,Standard
House,2575,1,1,4,0,8,1985,3500,9163000,Standard
Flat,1213,5,1,3,0,19,2011,3000,3972500,Standard
House,1562,1,1,4,0,7,2020,3500,5635000,Standard
House,2476,5,1,4,0,9,2022,3500,9035000,Standard
House,1796,5,1,3,0,18,2018,3500,6623000,Standard
Flat,625,7,0,1,1,2,2010,3000,2263000,Standard
House,4096,1,1,4,2,4,2021,3500,14534500,Standard
Apartment,3783,3,0,4,0,2,1989,4000,15384500,Luxury
House,2103,4,0,2,2,15,2009,3500,7643000,Standard
Apartment,566,2,1,4,2,16,1997,4000,2500500,Standard
Apartment,732,5,1,3,1,14,2003,4000,3272500,Standard
Apartment,2656,6,0,2,0,2,1988,4000,10966000,Standard
Flat,1669,6,1,1,1,11,2010,3000,5345000,Standard
Flat,2658,4,1,2,0,8,1994,3000,8219000,Standard
Flat,4706,6,1,3,1,11,1983,3000,14502500,Standard
House,1993,3,2,3,2,14,2019,3500,7243000,Standard
Apartment,4507,6,0,2,0,1,1988,4000,18370000,Luxury
Flat,2972,2,2,1,3,17,1988,3000,9073000,Standard
Flat,3160,2,1,2,2,19,2005,3000,9660500,Standard
House,3239,5,2,1,3,11,1983,3500,11641000,Standard
Flat,2261,1,1,2,2,3,1996,3000,6909000,Standard
House,4014,7,2,3,1,15,1995,3500,14489500,Standard
Bungalow,2475,3,1,4,0,15,1994,5000,12630000,Standard
Flat,2862,5,2,4,2,0,2014,3000,8981000,Standard
Bungalow,1376,3,2,1,1,1,1984,5000,7055000,Standard
House,4312,1,2,1,0,2,1984,3500,15152000,Luxury
Apartment,3948,6,0,1,0,19,1999,4000,16109500,Luxury
Flat,1812,6,2,3,2,16,1994,3000,5841000,Standard
House,1960,7,0,2,0,19,1997,3500,7256500,Standard
Apartment,3209,1,1,3,2,0,1981,4000,12984500,Standard
Apartment,2824,5,2,4,0,19,2008,4000,11658000,Standard
Bungalow,2233,7,1,1,3,5,1992,5000,11574000,Standard
House,2105,1,1,2,1,14,1983,3500,7472000,Standard
Apartment,3063,4,2,4,3,13,2021,4000,12615500,Standard
Flat,3921,2,0,4,2,19,1989,3000,11995500,Standard
Flat,4017,7,2,4,3,14,2010,3000,12559000,Standard
Bungalow,2897,7,1,3,2,13,2020,5000,14953000,Standard
Apartment,4235,5,1,1,0,4,1987,4000,17201500,Luxury
House,3370,3,2,4,0,5,1982,3500,12044000,Standard
Flat,1660,4,0,1,2,16,1988,3000,5222000,Standard
Apartment,742,5,0,3,3,10,2009,4000,3345500,Standard
Apartment,3090,1,1,4,0,15,1990,4000,12513000,Standard
Bungalow,1563,1,1,3,1,11,2014,5000,7965000,Standard
Flat,4824,1,0,3,0,14,2016,3000,14608000,Standard
Flat,3095,1,2,1,1,3,2021,3000,9378500,Standard
House,1419,3,1,4,3,17,1992,3500,5265500,Standard
Flat,505,4,0,3,1,2,2015,3000,1815500,Standard
House,967,6,1,4,1,7,1992,3500,3803500,Standard
Flat,4670,2,2,1,1,2,1991,3000,14138500,Standard
Bungalow,503,3,0,3,1,7,2016,5000,2766000,Standard
Flat,1145,3,1,1,0,17,1989,3000,3597500,Standard
House,617,6,2,4,1,9,1988,3500,2576500,Standard
House,3428,6,1,4,0,19,1986,3500,12399000,Standard
Bungalow,3051,2,2,1,1,16,1981,5000,15378500,Luxury
Flat,4789,2,2,2,2,7,2002,3000,14546000,Standard
Flat,1346,6,0,3,3,10,2018,3000,4470000,Standard
Bungalow,3262,1,2,4,1,4,2019,5000,16492500,Luxury
Flat,1641,3,1,4,2,12,2018,3000,5220000,Standard
Flat,2310,5,2,3,1,4,2000,3000,7273000,Standard
House,1223,2,2,1,1,12,2002,3500,4414500,Standard
Flat,724,2,0,1,1,5,2008,3000,2309000,Standard
Flat,4708,6,2,1,2,4,1993,3000,14468500,Standard
Bungalow,2548,4,2,2,3,8,2005,5000,13035500,Standard
Bungalow,4915,5,1,2,2,15,1984,5000,24895000,Luxury
Apartment,2073,5,0,4,3,1,2010,4000,8700000,Standard
House,2328,2,0,1,1,0,2004,3500,8283000,Standard
Flat,2417,1,0,3,0,7,2010,3000,7384000,Standard
Flat,4734,4,2,4,1,18,1999,3000,14524500,Standard
Apartment,2526,5,0,3,3,10,2023,4000,10488500,Standard
Flat,4244,2,2,4,2,11,1996,3000,12968000,Standard
House,1401,5,2,2,1,11,1981,3500,5207000,Standard
Apartment,2539,7,1,4,2,6,2004,4000,10646000,Standard
House,509,4,1,2,2,12,1992,3500,2055500,Standard
Apartment,760,4,1,4,2,7,2018,4000,3387000,Standard
Apartment,2173,7,1,1,1,8,2007,4000,9078500,Standard
Bungalow,2719,3,1,3,2,6,2021,5000,13863500,Standard
House,2560,7,2,1,2,14,1985,3500,9350500,Standard
Flat,4213,6,2,4,1,1,1982,3000,13053000,Standard
Flat,2119,6,0,4,2,19,2014,3000,6802000,Standard
House,820,2,2,4,1,11,1997,3500,3091500,Standard
Flat,1842,4,2,2,3,0,1990,3000,5814000,Standard
Flat,2876,3,1,3,3,7,1999,3000,8900500,Standard
House,3332,3,2,3,3,4,1984,3500,11927000,Standard
Apartment,3324,5,1,4,2,14,1998,4000,13683000,Standard
House,2494,5,0,4,0,0,2001,3500,9087500,Standard
Apartment,3458,7,0,2,0,0,1998,4000,14229000,Standard
Flat,2538,3,2,1,2,9,1995,3000,7809500,Standard
Flat,3990,7,0,1,0,9,2003,3000,12339500,Standard
Flat,4177,7,2,3,1,14,2020,3000,12984000,Standard
Bungalow,1618,5,0,2,0,16,1983,5000,8379500,Standard
Apartment,2104,4,1,4,2,5,1994,4000,8751000,Standard
Bungalow,4527,7,1,3,2,2,2004,5000,23095000,Luxury
Bungalow,735,1,1,2,1,12,2023,5000,3799500,Standard
House,2469,4,1,1,3,15,2014,3500,8911500,Standard
Bungalow,4929,3,2,2,2,7,1993,5000,24869500,Luxury
House,2408,3,0,1,1,14,1998,3500,8610000,Standard
House,875,7,2,2,0,16,2017,3500,3469000,Standard
Bungalow,4030,4,1,3,0,16,2015,5000,20435500,Luxury
Apartment,3135,5,2,1,1,12,1986,4000,12816000,Standard
Apartment,2070,5,0,3,1,16,2009,4000,8627500,Standard
Apartment,3060,6,2,3,2,5,1998,4000,12647000,Standard
Apartment,3891,3,0,1,0,16,2004,4000,15734000,Luxury
Apartment,3465,2,2,1,1,15,1995,4000,13990500,Standard
Bungalow,4143,6,0,4,0,13,2019,5000,21132500,Luxury
Bungalow,4350,5,0,4,1,12,1987,5000,22116500,Luxury
Flat,1372,4,1,4,0,5,1997,3000,4422500,Standard
Apartment,1752,5,0,3,3,2,2007,4000,7384500,Standard
Bungalow,1814,4,1,3,2,13,1995,5000,9375500,Standard
Flat,3398,6,1,4,0,13,1998,3000,10601000,Standard
Apartment,577,3,1,3,3,14,2021,4000,2591500,Standard
House,3121,5,2,3,0,7,1996,3500,11249500,Standard
Flat,4727,7,2,1,0,14,1992,3000,14545000,Standard
Bungalow,1100,4,2,1,3,12,1986,5000,5756000,Standard
House,1565,3,2,3,0,16,2006,3500,5708500,Standard
House,2636,2,0,4,0,2,1989,3500,9428500,Standard
House,2949,4,0,2,2,5,2013,3500,10606000,Standard
Flat,2843,6,2,4,3,4,2015,3000,8989500,Standard
Bungalow,2363,2,0,2,3,16,2004,5000,12010000,Standard
House,1818,2,0,4,1,1,1985,3500,6578500,Standard
Apartment,4097,1,1,1,0,14,2003,4000,16457500,Luxury
House,4262,5,1,3,2,4,1997,3500,15273500,Luxury
House,2690,4,1,3,0,19,2002,3500,9694000,Standard
Flat,1492,2,1,1,0,5,1985,3000,4586500,Standard
Flat,3212,1,0,2,1,5,2008,3000,9753000,Standard
Bungalow,2692,6,2,2,0,17,2004,5000,13810000,Standard
Apartment,1748,3,0,2,2,17,1996,4000,7218000,Standard
Flat,3554,7,0,1,2,3,2003,3000,11061500,Standard
House,4533,7,0,2,1,16,1990,3500,16273500,Luxury
Bungalow,2497,4,1,1,0,13,2005,5000,12705500,Standard
House,4187,2,1,4,2,13,2013,3500,14899000,Standard
House,2651,7,1,4,0,12,2007,3500,9740000,Standard
Flat,4518,5,2,1,0,6,1982,3000,13813000,Standard
Bungalow,3610,7,0,3,0,11,1990,5000,18473000,Luxury
Apartment,2470,7,2,4,1,14,2017,4000,10361500,Standard
Apartment,697,7,1,2,0,18,1993,4000,3182500,Standard
Flat,3126,1,2,1,2,10,2005,3000,9478500,Standard
Flat,1702,2,0,2,0,14,2000,3000,5254000,Standard
Bungalow,2535,5,0,2,2,11,2018,5000,13012000,Standard
Apartment,977,2,1,3,0,2,2009,4000,4090500,Standard
Apartment,1754,4,1,2,2,16,1987,4000,7287500,Standard
Apartment,1422,4,2,3,2,2,1999,4000,5995500,Standard
House,919,4,1,4,0,18,2011,3500,3530000,Standard
Apartment,2704,6,1,1,0,19,2001,4000,11134500,Standard
House,3097,7,0,2,2,3,1986,3500,11260500,Standard
Bungalow,1620,6,1,1,3,2,1988,5000,8457000,Standard
House,3568,1,1,2,1,15,1980,3500,12591000,Standard
Bungalow,1450,4,0,1,3,11,2008,5000,7517000,Standard
Apartment,2836,5,0,2,3,7,1987,4000,11680500,Standard
Apartment,2743,2,2,2,0,16,1983,4000,11111500,Standard
Bungalow,3145,7,1,2,1,6,2014,5000,16145000,Luxury
Flat,2357,3,0,2,3,10,1982,3000,7305000,Standard
Bungalow,2365,5,2,2,0,17,2019,5000,12132500,Standard
Flat,3412,7,2,2,3,0,1986,3000,10672000,Standard
House,3353,6,1,2,3,2,2006,3500,12131500,Standard
House,3728,6,1,2,0,3,1980,3500,13386000,Standard
House,4219,5,2,2,0,12,2006,3500,15067500,Luxury
Apartment,3728,6,0,1,0,5,1995,4000,15227500,Luxury
House,2871,4,2,3,1,13,2017,3500,10350000,Standard
Flat,3391,1,1,2,3,4,1986,3000,10309000,Standard
House,4256,2,0,3,0,15,2023,3500,15085500,Luxury
Bungalow,4725,1,0,2,2,14,2002,5000,23754000,Luxury
Bungalow,594,7,2,2,3,14,2020,5000,3423000,Standard
Apartment,3174,2,1,1,2,3,1990,4000,12839000,Standard
Bungalow,2455,2,2,4,1,7,2021,5000,12508500,Standard
Flat,1293,1,2,4,0,15,2012,3000,4043000,Standard
House,2334,5,2,1,2,15,2015,3500,8474500,Standard
Apartment,2616,2,0,3,1,3,2016,4000,10665000,Standard
House,4606,1,0,4,0,12,2020,3500,16289000,Luxury
House,3825,2,1,1,2,12,1996,3500,13533500,Standard
Flat,3419,3,1,1,2,1,2014,3000,10462000,Standard
Bungalow,3097,5,2,4,1,2,1984,5000,15850000,Luxury
Bungalow,3705,4,2,3,0,7,2011,5000,18808500,Luxury
House,1314,2,2,1,0,14,1982,3500,4708000,Standard
Apartment,845,3,1,2,2,10,2014,4000,3615000,Standard
Bungalow,2849,4,0,3,2,8,1993,5000,14549500,Standard
Apartment,862,4,0,3,2,6,2010,4000,3761000,Standard
Bungalow,2943,7,2,4,0,12,2010,5000,15178000,Luxury
Apartment,2765,2,2,4,1,1,1996,4000,11281000,Standard
Flat,2688,1,2,2,1,7,2003,3000,8178500,Standard
Apartment,3505,2,2,1,0,6,2002,4000,14139000,Standard
Flat,3781,3,1,4,3,11,1997,3000,11644500,Standard
Flat,1484,4,0,4,1,18,1993,3000,4771500,Standard
Apartment,2139,2,2,3,2,6,1994,4000,8761000,Standard
Flat,1327,1,1,4,3,9,1994,3000,4181000,Standard
House,3230,7,2,4,3,15,1985,3500,11800500,Standard
Flat,4031,2,2,4,1,2,2006,3000,12319000,Standard
Bungalow,4951,5,0,4,3,9,1994,5000,25155000,Luxury
Apartment,3435,7,2,3,3,5,2015,4000,14220500,Standard
House,4376,1,0,2,1,17,1987,3500,15422500,Luxury
Apartment,626,3,0,2,1,17,1994,4000,2714000,Standard
Bungalow,3677,4,0,1,3,4,1982,5000,18639000,Luxury
Bungalow,3556,2,1,4,2,6,1992,5000,18014000,Luxury
Bungalow,1103,1,1,3,0,1,2020,5000,5653000,Standard
Flat,3949,7,0,1,3,10,2013,3000,12266500,Standard
Flat,4646,5,2,1,3,12,2003,3000,14252500,Standard
Apartment,4033,1,0,2,2,4,2019,4000,16269500,Luxury
Apartment,3867,6,2,3,3,5,2011,4000,15896500,Luxury
House,3868,5,0,3,3,13,2011,3500,13916500,Standard
House,4297,7,2,3,0,11,2009,3500,15472000,Luxury
Apartment,2292,3,1,2,0,3,1992,4000,9362000,Standard
Flat,3361,4,2,2,0,5,1980,3000,10321000,Standard
Bungalow,3976,7,0,2,1,9,2013,5000,20299500,Luxury
Apartment,3917,3,1,2,1,17,1994,4000,15878000,Luxury
House,2145,2,2,2,0,14,2023,3500,7667000,Standard
Flat,1705,1,2,4,0,7,1993,3000,5269500,Standard
Apartment,3530,6,2,4,1,8,2008,4000,14547000,Standard
Apartment,3372,5,2,3,2,4,2013,4000,13852500,Standard
Flat,3572,5,2,1,3,9,1997,3000,11027500,Standard
Apartment,2354,1,1,3,3,19,1986,4000,9582000,Standard
Flat,4521,6,1,1,0,5,2008,3000,13885000,Standard
Bungalow,3208,1,1,2,2,15,2010,5000,16173000,Luxury
Flat,4002,2,1,1,1,2,2004,3000,12141000,Standard
Flat,1832,3,0,3,0,9,2017,3000,5732500,Standard
Flat,701,7,1,3,2,10,1993,3000,2557500,Standard
Apartment,4007,5,2,1,2,10,1987,4000,16319500,Luxury
Apartment,4712,2,2,4,2,16,2006,4000,19089000,Luxury
Flat,1074,3,1,2,1,3,1981,3000,3425500,Standard
Apartment,1036,2,2,2,1,3,1996,4000,4305000,Standard
House,2125,6,1,3,3,16,2016,3500,7868500,Standard
House,2622,5,2,4,3,8,1993,3500,9576500,Standard
Apartment,885,7,0,1,2,18,2004,4000,3940000,Standard
Apartment,3781,1,0,2,2,4,2009,4000,15256500,Luxury
Flat,974,1,1,4,1,5,2008,3000,3099000,Standard
Bungalow,917,3,1,2,3,2,1999,5000,4827500,Standard
Apartment,4100,7,1,4,2,0,2000,4000,16888000,Luxury
House,1454,4,2,4,3,19,2001,3500,5442500,Standard
Flat,1705,6,1,3,3,15,2014,3000,5545000,Standard
Apartment,4620,3,0,2,2,10,2016,4000,18716000,Luxury
House,2490,4,2,1,1,12,1995,3500,8945500,Standard
House,4072,2,1,3,2,9,2022,3500,14471000,Standard
Bungalow,4880,6,2,3,2,2,1996,5000,24806000,Luxury
Flat,4658,2,2,1,3,8,1995,3000,14134500,Standard
Flat,3213,7,1,3,2,11,1981,3000,10087500,Standard
Bungalow,2703,5,2,4,1,13,1983,5000,13879500,Standard
Bungalow,3620,6,0,4,2,0,2000,5000,18538000,Luxury
Flat,1466,4,0,2,1,17,2018,3000,4670000,Standard
Flat,3932,5,2,2,1,16,2013,3000,12115500,Standard
Apartment,1188,1,1,1,3,8,2009,4000,4869500,Standard
Apartment,4743,4,2,2,0,8,1985,4000,19212500,Luxury
Bungalow,4201,3,0,4,0,9,1996,5000,21261000,Luxury
Apartment,841,1,2,1,3,18,2018,4000,3486000,Standard
House,2224,1,2,1,2,14,2004,3500,7884000,Standard
Apartment,4922,3,0,2,3,4,1984,4000,19923000,Luxury
Apartment,2292,6,2,4,1,14,1984,4000,9583000,Standard
House,2259,1,2,1,0,19,1999,3500,7974000,Standard
Bungalow,3712,7,1,4,3,1,1995,5000,19060500,Luxury
House,1489,4,1,4,2,12,2020,3500,5559500,Standard
Apartment,2762,5,0,4,3,15,2016,4000,11459000,Standard
Bungalow,2982,1,0,2,0,14,2019,5000,15017500,Luxury
Apartment,1451,4,0,3,3,9,1988,4000,6121000,Standard
House,1222,2,1,3,3,13,1984,3500,4492000,Standard
House,3889,4,0,1,0,9,2021,3500,13840000,Standard
Apartment,2579,5,0,4,1,13,1981,4000,10679500,Standard
Flat,3217,4,0,2,1,8,1988,3000,9908000,Standard
Flat,2832,3,1,4,0,13,2022,3000,8765000,Standard
House,3876,5,2,4,3,2,2015,3500,13976500,Standard
House,2000,6,0,2,0,19,2001,3500,7348500,Standard
Flat,785,2,2,3,1,15,2001,3000,2548500,Standard
Flat,3995,3,0,4,2,1,2001,3000,12273500,Standard
Apartment,2565,6,2,4,3,9,2013,4000,10719500,Standard
Apartment,1268,4,1,3,1,2,2008,4000,5369000,Standard
Flat,3557,5,1,2,3,10,2017,3000,11022500,Standard
Apartment,4789,2,0,1,0,10,2012,4000,19280000,Luxury
Apartment,2661,3,2,3,2,12,1997,4000,10900500,Standard
Bungalow,3793,6,1,1,0,6,1986,5000,19276000,Luxury
Apartment,1446,6,0,1,2,16,1980,4000,6122000,Standard
House,3835,2,0,3,3,1,2012,3500,13651500,Standard
Apartment,4650,7,1,4,3,11,1980,4000,19093000,Luxury
Apartment,1981,4,1,1,0,9,2003,4000,8143500,Standard
Flat,2401,2,0,1,2,17,1983,3000,7342500,Standard
House,3951,6,2,2,2,10,1983,3500,14198000,Standard
Apartment,4564,1,2,4,3,15,1997,4000,18457500,Luxury
Apartment,554,3,2,1,0,16,2006,4000,2387000,Standard
Bungalow,2323,2,0,2,2,18,2022,5000,11804000,Standard
Apartment,3962,7,1,4,3,17,2011,4000,16356500,Luxury
Apartment,3579,6,0,3,1,2,2012,4000,14715000,Standard
Bungalow,1332,4,1,3,0,15,2007,5000,6941500,Standard
Flat,4908,6,2,2,1,5,2021,3000,15097500,Luxury
Apartment,3306,4,2,3,0,11,2020,4000,13512000,Standard
Bungalow,2990,2,1,1,3,10,2015,5000,15120500,Luxury
House,827,4,1,4,2,14,1985,3500,3225000,Standard
Flat,3810,5,0,1,2,14,1995,3000,11725500,Standard
House,3800,5,2,1,2,15,2013,3500,13604500,Standard
House,4175,5,0,3,0,9,2002,3500,14941500,Standard
Bungalow,3554,7,0,1,3,11,2021,5000,18193500,Luxury
Apartment,2643,7,0,3,1,12,2003,4000,11016500,Standard
Bungalow,1811,1,2,4,3,3,1992,5000,9254000,Standard
Bungalow,3691,7,0,4,1,6,1997,5000,18926500,Luxury
Bungalow,3038,2,0,1,0,1,1992,5000,15304000,Luxury
Bungalow,4483,6,0,2,0,14,2016,5000,22771000,Luxury
Flat,664,6,0,3,1,7,2022,3000,2396000,Standard
Apartment,4777,1,0,3,1,6,2018,4000,19260000,Luxury
House,1322,7,0,1,1,14,2021,3500,5020500,Standard
House,1443,4,2,3,3,13,1996,3500,5371500,Standard
Apartment,4925,1,0,3,1,7,1994,4000,19840000,Luxury
House,1274,4,1,2,0,11,1997,3500,4705500,Standard
Apartment,2698,4,0,2,0,12,2002,4000,11041000,Standard
House,3656,3,0,1,2,10,2009,3500,12998500,Standard
Bungalow,4742,6,2,2,1,16,2013,5000,24079500,Luxury
House,4195,5,2,1,3,16,1983,3500,14987000,Standard
Apartment,3952,7,1,4,3,3,1982,4000,16302000,Luxury
Apartment,1414,4,1,1,3,7,1986,4000,5912000,Standard
Apartment,1808,3,2,4,2,4,1997,4000,7518500,Standard
Apartment,4677,6,2,1,0,15,2021,4000,19036500,Luxury
Apartment,1013,5,0,3,3,3,1986,4000,4418000,Standard
Flat,2420,4,2,2,0,14,2019,3000,7517500,Standard
Flat,4094,4,1,4,2,11,1985,3000,12612500,Standard
