ApplicantIncome,LoanAmount,CreditScore,EmploymentStatus,LoanTerm,LoanApproved
71214,11295,578,0,24,0
81228,17183,516,0,36,0
134752,34299,572,0,36,0
68984,17874,361,0,60,0
60774,37711,641,1,60,0
22568,10539,696,0,12,0
140151,47405,318,0,12,0
82592,7557,476,1,60,1
87563,43360,695,0,60,0
22695,21482,744,0,48,0
144375,7200,532,0,36,0
68190,7961,375,0,12,0
25258,26357,564,0,36,0
107538,16969,754,1,36,1
59504,7869,683,0,60,0
53159,33643,805,0,48,0
33986,29736,666,0,24,0
81858,43467,443,0,48,0
149312,28328,368,0,48,0
32666,30876,398,1,36,0
58660,26295,695,0,48,0
23561,8987,324,1,12,0
46854,27399,768,1,36,0
84505,38986,783,0,12,0
124488,25880,450,0,24,0
72251,9735,443,0,36,0
42662,49064,338,0,24,0
28392,9555,408,1,36,0
50535,46914,341,0,60,0
98603,45818,485,0,48,0
133569,24830,697,0,60,0
72256,22429,522,0,24,0
109135,11893,432,0,48,0
147478,19373,462,0,36,0
55222,8436,514,1,48,0
97373,13754,534,1,12,1
99575,15677,308,0,48,0
143684,10895,373,0,12,0
116354,24738,791,0,48,0
104651,35746,552,1,12,0
83335,37352,529,0,24,0
30965,44790,818,1,60,0
44538,46919,473,0,36,0
128066,10600,467,0,48,0
90592,34124,469,0,60,0
118018,32643,692,0,36,0
133252,45764,493,1,36,0
28110,14007,816,1,12,0
99309,42410,328,0,24,0
47266,49080,464,0,24,0
72992,45447,721,1,60,0
102948,13208,638,1,24,1
142073,23589,795,1,48,1
118806,48484,664,1,24,0
26910,22453,641,0,60,0
130989,41212,799,1,24,0
110982,48525,810,0,48,0
141626,37635,626,1,12,0
139176,38828,516,1,60,0
20206,23711,600,1,12,0
107054,8420,431,1,12,1
107897,36216,369,1,12,0
142409,5301,551,0,36,1
43419,5699,714,0,36,0
70636,5190,744,1,12,1
142546,15492,481,1,60,1
134238,40743,466,0,48,0
70015,11102,390,1,48,0
